"time","rep","training_site","infections","importations","testPositive"
1,407,"FLW",0,0,3
1,408,"FB",0,0,5
1,408,"FLW",1,0,5
1,409,"FB",1,0,7
1,409,"FLW",0,0,9
1,41,"FB",1,0,8
1,41,"FLW",0,0,3
1,410,"FB",0,0,3
1,410,"FLW",0,0,6
1,411,"FB",1,0,7
1,411,"FLW",0,0,5
1,412,"FB",1,1,11
1,412,"FLW",0,0,2
1,413,"FB",0,0,10
1,413,"FLW",0,0,3
1,414,"FB",0,0,6
1,414,"FLW",0,0,5
1,415,"FB",0,0,5
1,415,"FLW",0,0,3
1,416,"FB",0,0,4
1,416,"FLW",0,0,4
1,417,"FB",0,0,6
1,417,"FLW",1,0,4
1,418,"FB",0,0,7
1,418,"FLW",0,0,4
1,419,"FB",0,0,7
1,419,"FLW",0,0,2
1,42,"FB",0,0,9
1,42,"FLW",0,0,4
1,420,"FB",2,0,6
1,420,"FLW",0,0,4
1,421,"FB",0,0,11
1,421,"FLW",0,0,3
1,422,"FB",0,0,4
1,422,"FLW",0,0,2
1,423,"FB",0,0,10
1,423,"FLW",0,0,6
1,424,"FB",0,0,11
1,424,"FLW",0,0,4
1,425,"FB",1,0,7
1,425,"FLW",0,0,3
1,426,"FB",0,0,5
1,426,"FLW",0,0,5
1,427,"FB",2,0,11
1,427,"FLW",0,0,3
1,428,"FB",1,0,6
1,428,"FLW",0,0,4
1,429,"FB",0,0,6
1,429,"FLW",0,0,0
1,43,"FB",0,0,7
1,43,"FLW",0,0,4
1,430,"FB",0,0,1
1,430,"FLW",0,0,3
1,431,"FB",1,0,6
1,431,"FLW",0,0,3
1,432,"FB",1,1,10
1,432,"FLW",0,0,4
1,433,"FB",0,0,3
1,433,"FLW",0,0,4
1,434,"FB",3,0,6
1,434,"FLW",0,0,4
1,435,"FB",0,0,10
1,435,"FLW",1,0,3
1,436,"FB",0,0,8
1,436,"FLW",5,0,4
1,437,"FB",0,0,10
1,437,"FLW",0,0,2
1,438,"FB",3,0,7
1,438,"FLW",0,0,3
1,439,"FB",0,0,14
1,439,"FLW",0,0,4
1,44,"FB",2,0,9
1,44,"FLW",0,0,0
1,440,"FB",1,0,8
1,440,"FLW",1,0,4
1,441,"FB",0,0,6
1,441,"FLW",0,0,2
1,442,"FB",0,0,5
1,442,"FLW",0,0,4
1,443,"FB",0,0,9
1,443,"FLW",0,0,6
1,444,"FB",1,0,7
1,444,"FLW",0,0,1
1,445,"FB",0,0,7
1,445,"FLW",0,0,3
1,446,"FB",1,0,5
1,446,"FLW",0,0,2
1,447,"FB",0,0,7
1,447,"FLW",0,0,0
1,448,"FB",1,0,7
1,448,"FLW",0,0,6
1,449,"FB",0,0,8
1,449,"FLW",0,0,3
1,45,"FB",0,0,5
1,45,"FLW",0,0,3
1,450,"FB",0,0,8
1,450,"FLW",0,0,1
1,451,"FB",0,0,5
1,451,"FLW",0,0,5
1,452,"FB",4,0,11
1,452,"FLW",0,0,2
1,453,"FB",0,0,3
1,453,"FLW",0,0,5
1,454,"FB",0,0,4
1,454,"FLW",0,0,4
1,455,"FB",0,0,13
1,455,"FLW",2,0,5
1,456,"FB",0,0,7
1,456,"FLW",0,0,3
1,457,"FB",1,0,7
1,457,"FLW",0,0,8
1,458,"FB",0,0,7
1,458,"FLW",0,0,3
1,459,"FB",0,0,3
1,459,"FLW",0,0,2
1,46,"FB",0,0,7
1,46,"FLW",0,0,2
1,460,"FB",0,0,4
1,460,"FLW",0,0,8
1,461,"FB",0,0,4
1,461,"FLW",0,0,0
1,462,"FB",0,0,6
1,462,"FLW",0,0,4
1,463,"FB",1,0,6
1,463,"FLW",0,0,7
1,464,"FB",1,0,10
1,464,"FLW",1,0,7
1,465,"FB",1,0,13
1,465,"FLW",0,0,1
1,466,"FB",0,0,8
1,466,"FLW",0,0,4
1,467,"FB",0,0,8
1,467,"FLW",0,0,2
1,468,"FB",0,0,9
1,468,"FLW",0,0,4
1,469,"FB",0,0,10
1,469,"FLW",0,0,2
1,47,"FB",0,0,7
1,47,"FLW",3,0,3
1,470,"FB",0,0,8
1,470,"FLW",0,0,4
1,471,"FB",0,0,7
1,471,"FLW",0,0,0
1,472,"FB",0,0,6
1,472,"FLW",1,1,2
1,473,"FB",2,0,7
1,473,"FLW",0,0,1
1,474,"FB",0,0,8
1,474,"FLW",0,0,5
1,475,"FB",0,0,14
1,475,"FLW",0,0,3
1,476,"FB",4,0,10
1,476,"FLW",0,0,8
1,477,"FB",0,0,2
1,477,"FLW",0,0,6
1,478,"FB",0,0,7
1,478,"FLW",1,0,2
1,479,"FB",0,0,6
1,479,"FLW",0,0,3
1,48,"FB",2,0,7
1,48,"FLW",0,0,3
1,480,"FB",0,0,3
1,480,"FLW",0,0,3
1,481,"FB",0,0,5
1,481,"FLW",2,0,6
1,482,"FB",0,0,5
1,482,"FLW",0,0,6
1,483,"FB",0,0,4
1,483,"FLW",1,0,2
1,484,"FB",0,0,9
1,484,"FLW",0,0,1
1,485,"FB",0,0,8
1,485,"FLW",0,0,2
1,486,"FB",0,0,6
1,486,"FLW",0,0,6
1,487,"FB",1,0,8
1,487,"FLW",0,0,2
1,488,"FB",0,0,7
1,488,"FLW",0,0,5
1,489,"FB",3,0,14
1,489,"FLW",1,1,2
1,49,"FB",0,0,10
1,49,"FLW",0,0,2
