"time","rep","importation","facemask","infections"
35,16,1,"0",7
36,16,1,"0",11
37,16,1,"0",10
38,16,1,"0",4
39,16,1,"0",7
40,16,1,"0",4
41,16,1,"0",2
42,16,1,"0",2
43,16,1,"0",0
44,16,1,"0",1
45,16,1,"0",2
46,16,1,"0",1
47,16,1,"0",0
48,16,1,"0",0
49,16,1,"0",0
50,16,1,"0",1
51,16,1,"0",0
52,16,1,"0",0
53,16,1,"0",1
54,16,1,"0",0
55,16,1,"0",0
56,16,1,"0",0
57,16,1,"0",0
58,16,1,"0",0
59,16,1,"0",0
60,16,1,"0",0
61,16,1,"0",0
62,16,1,"0",0
63,16,1,"0",0
64,16,1,"0",0
65,16,1,"0",0
66,16,1,"0",0
67,16,1,"0",0
68,16,1,"0",0
69,16,1,"0",0
70,16,1,"0",0
71,16,1,"0",0
72,16,1,"0",0
73,16,1,"0",0
1,17,1,"0",1
2,17,1,"0",2
3,17,1,"0",4
4,17,1,"0",2
5,17,1,"0",2
6,17,1,"0",4
7,17,1,"0",5
8,17,1,"0",4
9,17,1,"0",3
10,17,1,"0",4
11,17,1,"0",2
12,17,1,"0",3
13,17,1,"0",5
14,17,1,"0",1
15,17,1,"0",3
16,17,1,"0",2
17,17,1,"0",10
18,17,1,"0",7
19,17,1,"0",3
20,17,1,"0",9
21,17,1,"0",19
22,17,1,"0",13
23,17,1,"0",20
24,17,1,"0",16
25,17,1,"0",30
26,17,1,"0",23
27,17,1,"0",30
28,17,1,"0",18
29,17,1,"0",34
30,17,1,"0",27
31,17,1,"0",27
32,17,1,"0",16
33,17,1,"0",18
34,17,1,"0",14
35,17,1,"0",13
36,17,1,"0",11
37,17,1,"0",8
38,17,1,"0",7
39,17,1,"0",2
40,17,1,"0",3
41,17,1,"0",2
42,17,1,"0",1
43,17,1,"0",0
44,17,1,"0",0
45,17,1,"0",0
46,17,1,"0",1
47,17,1,"0",0
48,17,1,"0",0
49,17,1,"0",0
50,17,1,"0",0
51,17,1,"0",0
52,17,1,"0",0
53,17,1,"0",0
54,17,1,"0",0
55,17,1,"0",0
56,17,1,"0",0
57,17,1,"0",0
58,17,1,"0",0
59,17,1,"0",0
60,17,1,"0",0
61,17,1,"0",0
62,17,1,"0",0
63,17,1,"0",0
64,17,1,"0",0
65,17,1,"0",0
66,17,1,"0",0
67,17,1,"0",0
68,17,1,"0",0
69,17,1,"0",0
70,17,1,"0",0
71,17,1,"0",0
72,17,1,"0",0
73,17,1,"0",0
1,18,1,"0",0
2,18,1,"0",0
3,18,1,"0",0
4,18,1,"0",0
5,18,1,"0",0
6,18,1,"0",0
7,18,1,"0",0
8,18,1,"0",0
9,18,1,"0",0
10,18,1,"0",0
11,18,1,"0",0
12,18,1,"0",0
13,18,1,"0",0
14,18,1,"0",0
15,18,1,"0",0
16,18,1,"0",0
17,18,1,"0",0
18,18,1,"0",0
19,18,1,"0",0
20,18,1,"0",0
21,18,1,"0",0
22,18,1,"0",0
