"time","rep","importation","sim_scenario","infections"
26,9,1,"NoIntervention",6
27,9,1,"NoIntervention",6
28,9,1,"NoIntervention",8
29,9,1,"NoIntervention",2
30,9,1,"NoIntervention",1
31,9,1,"NoIntervention",2
32,9,1,"NoIntervention",1
33,9,1,"NoIntervention",0
34,9,1,"NoIntervention",1
35,9,1,"NoIntervention",1
36,9,1,"NoIntervention",0
37,9,1,"NoIntervention",0
38,9,1,"NoIntervention",0
39,9,1,"NoIntervention",1
40,9,1,"NoIntervention",0
41,9,1,"NoIntervention",0
42,9,1,"NoIntervention",0
43,9,1,"NoIntervention",0
44,9,1,"NoIntervention",1
45,9,1,"NoIntervention",0
46,9,1,"NoIntervention",0
47,9,1,"NoIntervention",0
48,9,1,"NoIntervention",1
49,9,1,"NoIntervention",0
50,9,1,"NoIntervention",1
51,9,1,"NoIntervention",0
52,9,1,"NoIntervention",2
53,9,1,"NoIntervention",2
54,9,1,"NoIntervention",2
55,9,1,"NoIntervention",4
56,9,1,"NoIntervention",7
57,9,1,"NoIntervention",9
58,9,1,"NoIntervention",7
59,9,1,"NoIntervention",8
60,9,1,"NoIntervention",9
61,9,1,"NoIntervention",17
62,9,1,"NoIntervention",20
63,9,1,"NoIntervention",19
64,9,1,"NoIntervention",11
65,9,1,"NoIntervention",13
66,9,1,"NoIntervention",8
67,9,1,"NoIntervention",22
68,9,1,"NoIntervention",8
69,9,1,"NoIntervention",14
70,9,1,"NoIntervention",9
71,9,1,"NoIntervention",10
72,9,1,"NoIntervention",10
73,9,1,"NoIntervention",8
1,10,1,"NoIntervention",0
2,10,1,"NoIntervention",0
3,10,1,"NoIntervention",0
4,10,1,"NoIntervention",0
5,10,1,"NoIntervention",0
6,10,1,"NoIntervention",0
7,10,1,"NoIntervention",0
8,10,1,"NoIntervention",0
9,10,1,"NoIntervention",0
10,10,1,"NoIntervention",0
11,10,1,"NoIntervention",0
12,10,1,"NoIntervention",0
13,10,1,"NoIntervention",0
14,10,1,"NoIntervention",0
15,10,1,"NoIntervention",0
16,10,1,"NoIntervention",0
17,10,1,"NoIntervention",0
18,10,1,"NoIntervention",0
19,10,1,"NoIntervention",0
20,10,1,"NoIntervention",0
21,10,1,"NoIntervention",0
22,10,1,"NoIntervention",0
23,10,1,"NoIntervention",0
24,10,1,"NoIntervention",0
25,10,1,"NoIntervention",0
26,10,1,"NoIntervention",0
27,10,1,"NoIntervention",0
28,10,1,"NoIntervention",0
29,10,1,"NoIntervention",0
30,10,1,"NoIntervention",0
31,10,1,"NoIntervention",0
32,10,1,"NoIntervention",0
33,10,1,"NoIntervention",0
34,10,1,"NoIntervention",0
35,10,1,"NoIntervention",0
36,10,1,"NoIntervention",0
37,10,1,"NoIntervention",0
38,10,1,"NoIntervention",0
39,10,1,"NoIntervention",0
40,10,1,"NoIntervention",0
41,10,1,"NoIntervention",0
42,10,1,"NoIntervention",0
43,10,1,"NoIntervention",0
44,10,1,"NoIntervention",0
45,10,1,"NoIntervention",0
46,10,1,"NoIntervention",0
47,10,1,"NoIntervention",0
48,10,1,"NoIntervention",0
49,10,1,"NoIntervention",0
50,10,1,"NoIntervention",0
51,10,1,"NoIntervention",0
52,10,1,"NoIntervention",0
53,10,1,"NoIntervention",0
54,10,1,"NoIntervention",0
55,10,1,"NoIntervention",0
56,10,1,"NoIntervention",0
57,10,1,"NoIntervention",0
58,10,1,"NoIntervention",0
59,10,1,"NoIntervention",0
60,10,1,"NoIntervention",0
61,10,1,"NoIntervention",0
62,10,1,"NoIntervention",0
63,10,1,"NoIntervention",0
64,10,1,"NoIntervention",0
65,10,1,"NoIntervention",0
66,10,1,"NoIntervention",0
67,10,1,"NoIntervention",0
68,10,1,"NoIntervention",0
69,10,1,"NoIntervention",0
70,10,1,"NoIntervention",0
71,10,1,"NoIntervention",0
72,10,1,"NoIntervention",0
73,10,1,"NoIntervention",0
1,11,1,"NoIntervention",1
2,11,1,"NoIntervention",1
3,11,1,"NoIntervention",3
4,11,1,"NoIntervention",5
5,11,1,"NoIntervention",3
6,11,1,"NoIntervention",2
7,11,1,"NoIntervention",5
8,11,1,"NoIntervention",5
9,11,1,"NoIntervention",2
10,11,1,"NoIntervention",4
11,11,1,"NoIntervention",4
12,11,1,"NoIntervention",7
13,11,1,"NoIntervention",6
14,11,1,"NoIntervention",5
15,11,1,"NoIntervention",11
16,11,1,"NoIntervention",12
17,11,1,"NoIntervention",20
18,11,1,"NoIntervention",21
19,11,1,"NoIntervention",20
20,11,1,"NoIntervention",23
21,11,1,"NoIntervention",30
22,11,1,"NoIntervention",17
23,11,1,"NoIntervention",25
24,11,1,"NoIntervention",24
25,11,1,"NoIntervention",28
26,11,1,"NoIntervention",17
27,11,1,"NoIntervention",21
28,11,1,"NoIntervention",19
29,11,1,"NoIntervention",19
30,11,1,"NoIntervention",10
31,11,1,"NoIntervention",10
32,11,1,"NoIntervention",9
33,11,1,"NoIntervention",8
34,11,1,"NoIntervention",8
35,11,1,"NoIntervention",7
36,11,1,"NoIntervention",1
37,11,1,"NoIntervention",5
38,11,1,"NoIntervention",6
39,11,1,"NoIntervention",0
40,11,1,"NoIntervention",2
41,11,1,"NoIntervention",0
42,11,1,"NoIntervention",1
43,11,1,"NoIntervention",0
44,11,1,"NoIntervention",0
45,11,1,"NoIntervention",1
46,11,1,"NoIntervention",0
47,11,1,"NoIntervention",0
48,11,1,"NoIntervention",0
49,11,1,"NoIntervention",1
50,11,1,"NoIntervention",0
51,11,1,"NoIntervention",0
52,11,1,"NoIntervention",0
53,11,1,"NoIntervention",0
54,11,1,"NoIntervention",0
55,11,1,"NoIntervention",0
56,11,1,"NoIntervention",0
57,11,1,"NoIntervention",0
58,11,1,"NoIntervention",0
59,11,1,"NoIntervention",0
60,11,1,"NoIntervention",0
61,11,1,"NoIntervention",0
62,11,1,"NoIntervention",0
63,11,1,"NoIntervention",0
64,11,1,"NoIntervention",0
65,11,1,"NoIntervention",0
66,11,1,"NoIntervention",0
67,11,1,"NoIntervention",0
68,11,1,"NoIntervention",0
69,11,1,"NoIntervention",0
70,11,1,"NoIntervention",0
71,11,1,"NoIntervention",0
72,11,1,"NoIntervention",0
73,11,1,"NoIntervention",0
1,12,1,"NoIntervention",1
2,12,1,"NoIntervention",0
3,12,1,"NoIntervention",1
4,12,1,"NoIntervention",0
5,12,1,"NoIntervention",0
6,12,1,"NoIntervention",1
7,12,1,"NoIntervention",1
8,12,1,"NoIntervention",0
9,12,1,"NoIntervention",1
10,12,1,"NoIntervention",1
11,12,1,"NoIntervention",0
12,12,1,"NoIntervention",1
13,12,1,"NoIntervention",1
14,12,1,"NoIntervention",2
15,12,1,"NoIntervention",3
16,12,1,"NoIntervention",4
17,12,1,"NoIntervention",4
18,12,1,"NoIntervention",7
19,12,1,"NoIntervention",3
20,12,1,"NoIntervention",8
21,12,1,"NoIntervention",16
22,12,1,"NoIntervention",18
23,12,1,"NoIntervention",19
24,12,1,"NoIntervention",15
25,12,1,"NoIntervention",31
26,12,1,"NoIntervention",24
27,12,1,"NoIntervention",23
28,12,1,"NoIntervention",19
29,12,1,"NoIntervention",30
30,12,1,"NoIntervention",31
31,12,1,"NoIntervention",19
32,12,1,"NoIntervention",16
33,12,1,"NoIntervention",27
34,12,1,"NoIntervention",21
35,12,1,"NoIntervention",14
36,12,1,"NoIntervention",27
